id,Nivel de Adaptación
1,Alto
2,Moderado
3,Moderado
4,Moderado
5,Moderado
6,Bajo
7,Moderado
8,Alto
9,Moderado
10,Moderado
11,Moderado
12,Alto
13,Alto
14,Moderado
15,Moderado
16,Alto
17,Alto
18,Alto
19,Alto
20,Alto
21,Moderado
22,Alto
23,Alto
24,Alto
25,Alto
26,Moderado
27,Moderado
28,Moderado
29,Moderado
30,Alto
31,Alto
32,Moderado
33,Bajo
34,Alto
35,Moderado
36,Moderado
37,Moderado
38,Alto
39,Alto
40,Moderado
41,Alto
42,Moderado
43,Moderado
44,Moderado
45,Alto
46,Alto
47,Alto
48,Moderado
49,Moderado
50,Alto
51,Alto
52,Moderado
53,Alto
54,Moderado
55,Alto
56,Alto
57,Moderado
58,Alto
59,Alto
60,Moderado
61,Alto
62,Moderado
63,Moderado
64,Alto
65,Moderado
66,Alto
67,Moderado
68,Moderado
69,Moderado
70,Alto
71,Moderado
72,Alto
73,Moderado
74,Alto
75,Moderado
76,Alto
77,Alto
78,Moderado
79,Alto
80,Alto
81,Alto
82,Alto
83,Moderado
84,Alto
85,Alto
86,Bajo
87,Alto
88,Moderado
89,Alto
90,Alto
91,Alto
92,Alto
93,Alto
94,Alto
95,Alto
96,Alto
97,Alto
98,Alto
99,Moderado
100,Moderado
101,Alto
102,Bajo
103,Moderado
104,Alto
105,Alto
106,Moderado
107,Moderado
108,Alto
109,Alto
110,Alto
111,Alto
112,Moderado
113,Alto
114,Moderado
115,Moderado
116,Alto
117,Alto
118,Alto
119,Bajo
120,Moderado
121,Alto
122,Moderado
123,Alto
124,Moderado
125,Alto
126,Moderado
127,Alto
128,Moderado
129,Bajo
130,Moderado
131,Alto
132,Moderado
133,Bajo
134,Alto
135,Alto
136,Alto
137,Moderado
138,Moderado
139,Moderado
140,Alto
141,Alto
142,Alto
143,Alto
144,Moderado
145,Alto
146,Moderado
147,Alto
148,Alto
149,Bajo
150,Alto
151,Alto
152,Moderado
153,Alto
154,Alto
155,Alto
156,Alto
157,Alto
158,Alto
159,Alto
160,Alto
161,Moderado
162,Bajo
163,Bajo
164,Alto
165,Moderado
166,Alto
167,Bajo
168,Alto
169,Moderado
170,Alto
171,Bajo
172,Alto
173,Alto
174,Moderado
175,Moderado
176,Alto
177,Moderado
178,Moderado
179,Alto
180,Moderado
181,Alto
182,Moderado
183,Alto
184,Moderado
185,Moderado
186,Alto
187,Moderado
188,Alto
189,Alto
190,Alto
191,Alto
192,Alto
193,Moderado
194,Alto
195,Alto
196,Moderado
197,Moderado
198,Moderado
199,Moderado
200,Moderado
201,Moderado
202,Moderado
203,Alto
204,Alto
205,Alto
206,Alto
207,Alto
208,Alto
209,Alto
210,Alto
211,Moderado
212,Moderado
213,Alto
214,Alto
215,Moderado
216,Alto
217,Alto
218,Moderado
219,Alto
220,Alto
221,Alto
222,Moderado
223,Moderado
224,Moderado
225,Alto
226,Alto
227,Alto
228,Moderado
229,Alto
230,Alto
231,Alto
232,Moderado
233,Bajo
234,Alto
235,Moderado
236,Moderado
237,Alto
238,Alto
239,Alto
240,Alto
241,Alto
